year_month,price_usd_per_troy_oz,frequency,source,source_url,notes
1984-08,317.22,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1984-09,329.79,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1984-10,323.35,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1984-11,325.84,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1984-12,325.3,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1985-01,321.88,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1985-02,345.38,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1985-03,338.89,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1985-04,345.7,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
1985-05,340.44,monthly,"World Gold Council (WGC) – Monthly_Avg, USD (LBMA Gold Price)",https://www.gold.org/goldhub/data/gold-prices,Monthly average USD price per troy ounce; year-end-month value used when downsampled to annual.
